Merit_reorderd_ID,Outlet_Number,Rank,Next,Segid,tosegment
45,0,1,6,71032409,71030270
44,0,2,6,71032292,71030270
47,0,3,8,71032440,71029778
46,0,4,8,71032422,71029778
41,0,5,9,71032102,71030026
19,0,6,9,71030270,71030026
42,0,7,12,71032185,71029528
12,0,8,12,71029778,71029528
49,0,9,13,71030026,71029992
43,0,10,13,71032217,71029992
40,0,11,14,71031893,71029071
11,0,12,14,71029528,71029071
16,0,13,15,71029992,71029022
10,0,14,15,71029071,71029022
50,0,15,18,71029022,71029016
36,0,16,18,71031643,71029016
34,0,17,20,71031503,71028974
9,0,18,20,71029016,71028974
37,0,19,24,71031654,71028957
8,0,20,24,71028974,71028957
39,0,21,25,71031838,71030287
38,0,22,25,71031687,71030287
33,0,23,26,71031359,71028904
7,0,24,26,71028957,71028904
20,0,25,32,71030287,71028852
6,0,26,32,71028904,71028852
23,0,27,34,71030527,71030071
22,0,28,34,71030418,71030071
28,0,29,36,71030838,71030302
27,0,30,36,71030784,71030302
31,0,31,38,71031120,71028740
5,0,32,38,71028852,71028740
24,0,33,40,71030563,71029963
17,0,34,40,71030071,71029963
29,0,35,41,71030896,71030100
21,0,36,41,71030302,71030100
35,0,37,42,71031506,71028700
4,0,38,42,71028740,71028700
25,0,39,43,71030690,71029798
15,0,40,43,71029963,71029798
18,0,41,44,71030100,71028676
3,0,42,44,71028700,71028676
13,0,43,48,71029798,71028609
2,0,44,48,71028676,71028609
32,0,45,49,71031296,71029857
30,0,46,49,71031094,71029857
26,0,47,50,71030774,71028597
1,0,48,50,71028609,71028597
14,0,49,51,71029857,71028585
0,0,50,51,71028597,71028585
48,0,51,0,71028585,0
